[2026-06-05 19:36:51,678][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe7140aa080>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:36:51,678][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe7140a92a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:42:35,493][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fda66c58730>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:42:36,496][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fda66c588e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:42:38,499][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fda66c59a80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:42:42,506][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fda66c59bd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:42:50,527][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fda654406d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:51:19,795][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb505bd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:19,808][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb506290>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:20,825][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb5059f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:20,826][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb506e60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:22,880][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb5067a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:22,880][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb505360>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:26,936][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb5075b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:26,936][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb506d40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:34,939][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9b9a844f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:51:34,947][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd9bb507e20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/6wfqc93be7aq9mycmbv6o/files/prepare
[2026-06-05 19:52:50,570][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd99c696e60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:52:51,573][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd99c697010>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:52:53,627][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd99c697340>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:52:57,636][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd99a3942b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 19:53:05,697][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd99a396950>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
[2026-06-05 20:03:05,763][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fd8b89217b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/6wfqc93be7aq9mycmbv6o/heartbeat
