row_index,host_time_s,elapsed_s,frame_number,vicon_time_s,x_m,y_m,z_m,vx_mps,valid,occluded
600,1784097313.308980942,2.001657724,20648958,68829.860000000,-0.696106240,0.059932456,0.883198232,-1.253131781,1,0
601,1784097313.312211514,2.004888296,20648959,68829.863333333,-0.700642327,0.060231955,0.875518764,-1.360826093,1,0
602,1784097313.315359831,2.008036613,20648960,68829.866666667,-0.704996712,0.060661610,0.867472198,-1.306315497,1,0
603,1784097313.318570852,2.011247635,20648961,68829.870000000,-0.709404077,0.061131993,0.859256141,-1.322209310,1,0
604,1784097313.322013617,2.014690399,20648962,68829.873333333,-0.713587306,0.061544311,0.851326559,-1.254968846,1,0
605,1784097313.325637102,2.018313885,20648963,68829.876666667,-0.717946093,0.061881681,0.843147366,-1.307636053,1,0
606,1784097313.328853607,2.021530390,20648964,68829.880000000,-0.722199102,0.062218884,0.835251385,-1.275902822,1,0
607,1784097313.331877232,2.024554014,20648965,68829.883333333,-0.726237505,0.062773033,0.827178660,-1.211520847,1,0
608,1784097313.335153103,2.027829885,20648966,68829.886666667,-0.730370992,0.063363391,0.819025959,-1.240046167,1,0
609,1784097313.338643789,2.031320572,20648967,68829.890000000,-0.734394028,0.063894170,0.810725264,-1.206910532,1,0
610,1784097313.342360973,2.035037756,20648968,68829.893333333,-0.738561149,0.064264261,0.802246495,-1.250136310,1,0
611,1784097313.345479012,2.038155794,20648969,68829.896666667,-0.742675868,0.064502876,0.793283377,-1.234415697,1,0
612,1784097313.348551750,2.041228533,20648970,68829.900000000,-0.747061636,0.064874832,0.784939971,-1.315730603,1,0
613,1784097313.351896048,2.044572830,20648971,68829.903333333,-0.751224563,0.065340107,0.776335162,-1.248877898,1,0
614,1784097313.355289698,2.047966480,20648972,68829.906666667,-0.755394326,0.065898063,0.767545706,-1.250929043,1,0
615,1784097313.359344244,2.052021027,20648973,68829.910000000,-0.759583003,0.066515134,0.758250408,-1.256602962,1,0
616,1784097313.362411022,2.055087805,20648974,68829.913333333,-0.763826290,0.066942953,0.749046574,-1.272986135,1,0
